,total_trades,winning_trades,losing_trades,win_rate,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,unrealized_pnl,max_drawdown,sharpe_ratio,cagr,avg_trade_duration,avg_capital_utilization,max_concurrent_trades
2020,14,14,0,100.0,1000000.0,1000000.0,0.0,1558159.3952808005,558159.3952808005,0,0.0,0.6602597063708139,142.34517217252494,23.285714285714285,0,4
2021,37,23,14,62.16216216216216,1000000.0,1000000.0,0.0,2303447.1028396394,1303447.1028396394,0,8.66165237618087,0.06798956159669248,127.89043127480623,23.43243243243243,0,6
2022,46,36,10,78.26086956521739,1000000.0,1000000.0,92819.25533477904,2418292.660424775,1418292.660424775,0,26.541796758232806,0.16010844991564532,139.66874957582235,26.608695652173914,0,10
2023,38,30,8,78.94736842105263,1000000.0,1000000.0,55299.86557295045,2593049.8946141736,1593049.8946141736,0,5.614412935751658,0.19486704843194363,195.70243151011587,29.86842105263158,0,10
2024,37,21,16,56.75675675675676,1000000.0,1000000.0,138243.52305386902,1547572.7308195985,547572.7308195985,0,25.575187186874764,-0.22117426259497794,47.41452400112984,40.945945945945944,0,9
2025,16,13,3,81.25,1000000.0,1000000.0,54328.271063827095,1786748.5860361718,786748.5860361719,0,5.259323586796164,0.20869935518066438,1000.0,17.0625,0,7
